unique_trip,trip_time
349e6f16f415e4810d2da90cbc37100d666b1c8c35ca6abe79f9232fb97c024f_1,258.0
69a2240c5ed69c8a32174cd4ecbec66ab99776c58f7e11d75869de109b49cbd9_1,363.0
dcb756d1921722c249d52097649bc76f4506c78d842e6a7c1a2e274bf6c89539_1,346.0
b1616c71d520722bd2ed8f2871a89642cbc90a58c75ad3a67463d7a0384701bc_1,73.0
c0caa99f01b7dfa701e9f198d1cdf2f3b3e0999f36c91acb02b4b36ff52d3e2f_1,185.0
4823c8f4e83bf9b91fc57df040cea983d56477b92ce7ccd1fee2a54e13faed3f_1,164.0
0cb1178858833d241d485af4a7ec2dd4a814328282ba50c7a11656e130700470_1,376.0
32f9774208b22a4218be425b9b875ae6d963609f3d1ed257dc930ce4d8c0b736_1,357.0
9fa018e02909195a386e8366e0252eaed1cd4387d4865f0f15d0e74f6f6953e4_1,215.0
bcecd960005865184f506f1069b4a07cc2a25a59168410aa224a355d04fa3fe7_1,35.0
ec7d3fc8124ba15dc70a95c237152bb091ca694c319ae31a6351c99b195e7e60_1,495.0
