trip_id,start_idx,merchant_lat,merchant_lng,time_elapsed
01ff05c850fb030d8174a48d70a7327747dd0177030bc5cad10f5c9d25b95b33,0,31.948,35.892,746.0
0ab47e5efd572c12e0dce7b8767e48b24693a53fa25d996eb141a5152d06b6fb,29,32.008,35.789,1179.0
1130381657168e5a73bbf4daee416fff8bcb962080576b6078197ccf43fb1055,15,31.963,35.972,509.0
127924c79ac5e5e03143ceb2184fb997a86e4fbc2befcc6f23b0b9f00b3e1e62,61,31.997,35.836,260.0
1332e5748746f5519af498d2dcfb0666ae01e532dcb4fde81dd4258433b35319,32,31.95,35.872,275.0
223908890b25a397135f6043f63bcb389858c3bd649377a7cafd9f0229fbbf8f,46,31.997,35.836,1010.0
24c4d373f86d4112f953e0b91fc4da4cd7fdf3c3efb440c7bd1ad3fa43e9fb2e,153,31.95,35.925,287.0
28435c3aaeb1b02012bf2cbaa8643deea406cbb533b17d51f9182b903a4d94e1,0,31.95,35.884,565.0
2a032c977ebc48317cf18718a0c31fbaffcdadd41dde37962e47613be610aecb,26,31.958,35.98,97.0
2a7e3fa3a76f82e05052af1ad1a34bddbc865a7abf1b9d7bca348a11ffeb209f,41,31.997,35.836,464.0
320d612ad9d928a6246bb1dae41bbd30a77b339d88c47d6d2157c12d0306944f,10,31.957,35.869,110.0
3db2cff3fa84c31eecfcae57e54c52e6c5faf2420bda7d55d5a3ffed6eb5ed0d,29,31.957,35.926,151.0
50dff1446f56c9621cbf8a628bc00a2d929500e16a1081c970d4d973e4e8c0f4,6,31.893,35.843,342.0
543009c0c4e25a15f8bbf9e0aca9551e7ecaec351e7a3b9fb516d0590a641595,4,32.003,35.936,1360.0
6bdf955873a5b9b0a0bdbb582ab63b230b93032cb8300d5a99efa96fcfe1819b,37,31.96,35.859,849.0
782e545ace76023cbd4015ff5a9930a4367ced045b5f08d3cea61f7094ee738e,0,31.891,35.86,1246.0
9d2f2e473c48f36100c70e4feb4f44619b89f3b01a521664bdc48742ea099002,16,31.988,35.867,1286.0
9e4edc121721684b62dd7b51f61c011d648fefceb3b565d3a73c8f0229c6c5f5,48,31.98,35.837,408.0
a24dbb93f0a10cf2028ad993932063be9f724b27df7721560189d88a3244e85a,18,31.948,35.865,1295.0
a479ed21d1c88372cf7fecfa62b16bf2de6a4f3e7b6c70b4ad07973aaf71df6f,40,31.957,35.926,738.0
a55964cf32f9453257981af123754fc33f3b5bb081f63a85edb9311a97f38bd1,33,31.974,35.846,1341.0
bdb151a0fa98df5a519ca68c61b9659038855810dbfefb8fa96f749a151b494f,93,31.948,35.892,270.0
cb0988944a32760e99dbf53074ec73b854772f8ac0b06497aefff1c79a16c2b4,0,32.058,35.892,1939.0
d44e65d9f79e73469ee7d561dae67aa318085ce8d24cb7c065ea5884f3953426,37,31.995,35.871,282.0
d507421663607fae4d6d3d7210356b03ab36d37b3e53edb01a8ef5252ee2e658,29,32.022,35.873,1175.0
e18a018b2ac2c1ad5dd36a0946b00520243cf726d759d515f3a4dc860d8bcd57,55,31.974,35.854,1559.0
ec0286dc18471dfaf418922d48c55f7ec72f1e528954b80fc707705137fb5a21,0,31.916,35.91,515.0
f82b6c7a45db4fd93e76d73881343d2aeeec3fefb876401a4b9380c9ad3cf37d,1,31.948,35.892,1052.0
fa6b7eb2ad64f486573baa30ab3c34142698a76df756a5a402513a307d0d957c,46,31.954,35.884,596.0
